Year,Day_cab,Sleeper,Bus
2005,0.16281833735423162,0.1501037254608256,0.14126995261307565
2006,0.16281833735423162,0.1501037254608256,0.14126995261307565
2007,0.16281833735423162,0.1501037254608256,0.14126995261307565
2008,0.16281833735423162,0.1501037254608256,0.14126995261307565
2009,0.16281833735423162,0.1501037254608256,0.14126995261307565
2010,0.16281833735423162,0.1501037254608256,0.14126995261307565
2011,0.16281833735423162,0.1501037254608256,0.14126995261307565
2012,0.16281833735423162,0.1501037254608256,0.14126995261307565
2013,0.16281833735423162,0.1501037254608256,0.14126995261307565
2014,0.16281833735423162,0.1501037254608256,0.14126995261307565
2015,0.16281833735423162,0.1501037254608256,0.14126995261307565
2016,0.16281833735423162,0.1501037254608256,0.14126995261307565
2017,0.16281833735423162,0.1501037254608256,0.14126995261307565
2018,0.16281833735423162,0.1501037254608256,0.14126995261307565
2019,0.16281833735423162,0.1501037254608256,0.14126995261307565
2020,0.16281833735423162,0.1501037254608256,0.14126995261307565
2021,0.15817476807760072,0.14601732624098038,0.13733539064455413
2022,0.15353119880096983,0.14193092702113516,0.13340082867603262
2023,0.14888762952433893,0.13784452780128995,0.1294662667075111
2024,0.14424406024770803,0.13375812858144473,0.12553170473898959
2025,0.13960049097107713,0.1296717293615995,0.12159714277046806
2026,0.13495692169444623,0.1255853301417543,0.11766258080194653
2027,0.13031335241781533,0.12149893092190908,0.113728018833425
2028,0.12566978314118443,0.11741253170206387,0.10979345686490347
2029,0.12102621386455353,0.11332613248221865,0.10585889489638194
2030,0.11638264458792263,0.10923973326237343,0.1019243329278604
2031,0.11173907531129174,0.10515333404252822,0.09798977095933888
2032,0.10709550603466084,0.101066934822683,0.09405520899081735
2033,0.10245193675802994,0.09698053560283779,0.09012064702229582
2034,0.09780836748139904,0.09289413638299257,0.08618608505377429
2035,0.09316479820476814,0.08880773716314735,0.08225152308525276
