Year,Day_cab,Sleeper,Bus
2005,0.08401982223139814,0.08628573958934828,0.05323292816114039
2006,0.08401982223139814,0.08628573958934828,0.05323292816114039
2007,0.08401982223139814,0.08628573958934828,0.05323292816114039
2008,0.08401982223139814,0.08628573958934828,0.05323292816114039
2009,0.08401982223139814,0.08628573958934828,0.05323292816114039
2010,0.08401982223139814,0.08628573958934828,0.05323292816114039
2011,0.08401982223139814,0.08628573958934828,0.05323292816114039
2012,0.08401982223139814,0.08628573958934828,0.05323292816114039
2013,0.08401982223139814,0.08628573958934828,0.05323292816114039
2014,0.08401982223139814,0.08628573958934828,0.05323292816114039
2015,0.08401982223139814,0.08628573958934828,0.05323292816114039
2016,0.08401982223139814,0.08628573958934828,0.05323292816114039
2017,0.08401982223139814,0.08628573958934828,0.05323292816114039
2018,0.08401982223139814,0.08628573958934828,0.05323292816114039
2019,0.08401982223139814,0.08628573958934828,0.05323292816114039
2020,0.08401982223139814,0.08628573958934828,0.05323292816114039
2021,0.08162015982394263,0.08387927449117485,0.051730103366894487
2022,0.07922049741648712,0.08147280939300143,0.05022727857264858
2023,0.07682083500903161,0.079066344294828,0.04872445377840268
2024,0.0744211726015761,0.07665987919665458,0.04722162898415677
2025,0.07202151019412059,0.07425341409848116,0.04571880418991087
2026,0.06962184778666508,0.07184694900030773,0.04421597939566496
2027,0.06722218537920957,0.06944048390213431,0.04271315460141906
2028,0.06482252297175406,0.06703401880396088,0.04121032980717315
2029,0.06242286056429855,0.06462755370578746,0.03970750501292725
2030,0.06002319815684304,0.06222108860761403,0.03820468021868134
2031,0.05762353574938753,0.0598146235094406,0.03670185542443544
2032,0.05522387334193202,0.05740815841126717,0.03519903063018953
2033,0.052824210934476507,0.055001693313093736,0.03369620583594363
2034,0.050424548527020996,0.052595228214920305,0.03219338104169772
2035,0.048024886119565485,0.05018876311674687,0.030690556247451813
