Year,Day_cab,Sleeper,Bus
2005,0.08401982223139814,0.08628573958934828,0.05323292816114039
2006,0.08401982223139814,0.08628573958934828,0.05323292816114039
2007,0.08401982223139814,0.08628573958934828,0.05323292816114039
2008,0.08401982223139814,0.08628573958934828,0.05323292816114039
2009,0.08401982223139814,0.08628573958934828,0.05323292816114039
2010,0.08401982223139814,0.08628573958934828,0.05323292816114039
2011,0.08401982223139814,0.08628573958934828,0.05323292816114039
2012,0.08401982223139814,0.08628573958934828,0.05323292816114039
2013,0.08401982223139814,0.08628573958934828,0.05323292816114039
2014,0.08401982223139814,0.08628573958934828,0.05323292816114039
2015,0.08401982223139814,0.08628573958934828,0.05323292816114039
2016,0.08401982223139814,0.08628573958934828,0.05323292816114039
2017,0.08401982223139814,0.08628573958934828,0.05323292816114039
2018,0.08401982223139814,0.08628573958934828,0.05323292816114039
2019,0.08401982223139814,0.08628573958934828,0.05323292816114039
2020,0.08401982223139814,0.08628573958934828,0.05323292816114039
2021,0.08288209149611284,0.08514792373778407,0.052521383160151744
2022,0.08174436076082753,0.08401010788621986,0.051809838159163096
2023,0.08060663002554222,0.08287229203465565,0.05109829315817445
2024,0.07946889929025691,0.08173447618309145,0.0503867481571858
2025,0.0783311685549716,0.08059666033152724,0.049675203156197154
2026,0.0771934378196863,0.07945884447996303,0.048963658155208506
2027,0.07605570708440099,0.07832102862839882,0.04825211315421986
2028,0.07491797634911568,0.07718321277683461,0.04754056815323121
2029,0.07378024561383037,0.0760453969252704,0.04682902315224256
2030,0.07264251487854506,0.0749075810737062,0.046117478151253916
2031,0.07150478414325975,0.07376976522214199,0.04540593315026527
2032,0.07036705340797444,0.07263194937057778,0.04469438814927662
2033,0.06922932267268914,0.07149413351901357,0.04398284314828797
2034,0.06809159193740383,0.07035631766744936,0.043271298147299325
2035,0.06695386120211852,0.06921850181588515,0.04255975314631068
